,Job name,Link,Location,Salary min,Salary max,Portal,unstructured,r,degree,clustering,frontend,algebra,tableau,keras,brutto,puppet,consult,psql,descriptive,per month,matlab,classification,augmented,jinja,decision trees,couchdb,scala,predictive,cassandra,hbase,per day,svn,usd,excel,algorithm,seaborn,orm,data exploration,exploratory,pandas,natural language,ar,spss,debug,css,bokken,kaggle,azure,presentation,object relational mapper,math,project management,pytorch,decision tree,flask,experiment,tensorflow,ruby,zdalnie,per annum,spark,pound,phd,nosql,calculus,deep learning,python,scikit,beautiful soup,tf,hive,druid,salary,neural networks,test,security,maria,statistic,memcachedb,bachelor,chatbot,euro,java,unsupervised,munging,visualisation,netto,bayes,c++,mercurial,metrics,estimators,mongodb,remote,automation,sas,hadoop,d3.js,big data,wrangl,data processing,unit test,blockchain,masters,javascript,bs in,money,classifier,information retrival,machine learning,matplotlib,regression,pearl,conversational interface,anova,rest,jira,html,data,engineering,bs4,zdalna,analysis,django,mako,data mining,sql,.net,git,scraping,grunt,certificat,aws,pln,vr,nlp,c#,supervised,flink,thenao,methodology,data integration,numpy,nltk,quantitative analysis,large datasets
0,scala developer 100 remote python r nlp,"""https://www.reed.co.uk/jobs/scala-developer-100-remote-python-r-nlp/33958026?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,50000,80000,reed,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,0,0,0,0,0,0,0,0,0,0
1,python developer,"""https://www.reed.co.uk/jobs/python-developer/34069617?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",City of London,45000,70000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
2,python developer mac or linux fintech startup 40k london,"""https://www.reed.co.uk/jobs/python-developer-mac-or-linux-fintech-startup-40k-london/33861267?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",City Of London,35000,40000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
3,full stack engineer reactjs python,"""https://www.reed.co.uk/jobs/full-stack-engineer-reactjs-python/33741692?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,50000,75000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,1,1,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0
4,remote full stack engineer,"""https://www.reed.co.uk/jobs/remote-full-stack-engineer/33794906?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,50000,55000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
5,devops engineer,"""https://www.reed.co.uk/jobs/devops-engineer/33896080?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,50000,75000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
6,php web developer,"""https://www.reed.co.uk/jobs/php-web-developer/32003124?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",Sevenoaks,22000,35000,reed,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
7,java developer remote work learn aws ml 50k,"""https://www.reed.co.uk/jobs/java-developer-remote-work-learn-aws-ml-50k/34043482?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,40000,50000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
8,cloud automation engineer,"""https://www.reed.co.uk/jobs/cloud-automation-engineer/33989763?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",Feltham,45000,50000,reed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,0,0,0,0,0,0,0
9,network engineer,"""https://www.reed.co.uk/jobs/network-engineer/33989954?source=searchResults#/jobs/jobs-in-london?keywords=python-remote""",London,30000,32500,reed,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
